name,rating,price
CARNAGE OFFERING TD,88.65%,$8.99
Astrea: Six-Sided Oracles,87.70%,$22.49
Jeepney Simulator,86.51%,$5.99
Monster Line of Defense,86.48%,$1.59
BIT.TRIP RERUNNER,86.11%,$15.99
The Bunny Graveyard,85.23%,$6.99
Touhou Artificial Dream in Arcadia,84.40%,$8.99
77p egg: Eggwife,84.25%,$7.63
Lies of P,83.49%,$59.99
Farlight 84,83.28%,Free
神明之旅,83.13%,Free
Rise Of The White Sun,82.53%,$18.89
InfraSpace,82.01%,$18.74
Hot And Lovely ：Uniform,81.90%,$2.79
StormEdge: Wind of Change,81.42%,Free
name,rating,price
PAYDAY 3,"70,693",$39.99
Party Animals,"58,423",$19.99
Farlight 84,"28,900",Free
Mortal Kombat 1,"24,766",$69.99
Lies of P,"19,368",$59.99
Warhaven,"8,915",Free
Moonstone Island,"3,067",$17.99
Astrea: Six-Sided Oracles,"1,491",$22.49
HumanitZ,"1,413",$15.99
StormEdge: Wind of Change,761,Free
InfraSpace,532,$18.74
Pray Game,453,$19.99
Airship: Kingdoms Adrift,422,$23.99
Touhou Artificial Dream in Arcadia,330,$8.99
Spell Disk,274,$11.99
